Date,gross,net
2021-10-13,-0.4852289293338007,-0.6577289293338009
2021-10-14,-0.4900303392728936,-0.6627803392728938
2021-10-15,-0.47731191306747756,-0.6503119130674778
2021-10-18,-0.48608098948686673,-0.659330989486867
2021-10-19,-0.48804040580797176,-0.661540405807972
2021-10-20,-0.4849177040547063,-0.6586677040547065
2021-10-21,-0.47036105019302876,-0.644361050193029
2021-10-22,-0.46839305571240103,-0.6426430557124013
2021-10-25,-0.4513098943713195,-0.6258098943713198
2021-10-26,-0.44663073240500856,-0.6213807324050089
2021-10-27,-0.4352353228937672,-0.6102353228937676
2021-10-28,-0.4246313455391038,-0.5998813455391042
2021-10-29,-0.42746531629668144,-0.6029653162966818
2021-11-01,-0.4184075327593752,-0.5941575327593756
2021-11-02,-0.41563501727350055,-0.5916350172735009
2021-11-03,-0.3932129738365036,-0.5694629738365039
2021-11-04,-0.42517237056247004,-0.6016723705624704
2021-11-05,-0.41465393360730013,-0.5914039336073005
2021-11-08,-0.4012560546266508,-0.5782560546266512
2021-11-09,-0.42982377631859336,-0.6070737763185937
2021-11-10,-0.4165789714800075,-0.5940789714800079
2021-11-11,-0.4143068059581617,-0.5920568059581621
2021-11-12,-0.41421392329600437,-0.5922139232960048
2021-11-15,-0.3933798576409541,-0.5716298576409545
2021-11-16,-0.38919506666695625,-0.5676950666669567
2021-11-17,-0.3752456327044654,-0.5539956327044658
2021-11-18,-0.3527228597393149,-0.5317228597393153
2021-11-19,-0.3650681344468579,-0.5443181344468583
2021-11-22,-0.37183349879611005,-0.5513334987961105
2021-11-23,-0.3601380999531455,-0.5398880999531459
2021-11-24,-0.3549069308535566,-0.534906930853557
2021-11-26,-0.332831467402875,-0.5130814674028754
2021-11-29,-0.3321048250599363,-0.5126048250599368
2021-11-30,-0.330406839296388,-0.5111568392963884
2021-12-01,-0.3675421581288494,-0.5485421581288499
2021-12-02,-0.3851424459366537,-0.5663924459366542
2021-12-03,-0.41584703853315125,-0.5973470385331517
2021-12-06,-0.3923634010671735,-0.574113401067174
2021-12-07,-0.40133209367755657,-0.5833320936775571
2021-12-08,-0.4116124569115392,-0.5938624569115397
2021-12-09,-0.3923481812657396,-0.5748481812657401
2021-12-10,-0.3970598100647186,-0.5798098100647191
2021-12-13,-0.40579821942874145,-0.588798219428742
2021-12-14,-0.3718692946830372,-0.5551192946830378
2021-12-15,-0.40323769714677576,-0.5867376971467764
2021-12-16,-0.420470401899872,-0.6042204018998726
2021-12-17,-0.41116996216298757,-0.5951699621629881
2021-12-20,-0.4296000881009182,-0.6138500881009188
2021-12-21,-0.4253076221298993,-0.6098076221298999
2021-12-22,-0.4306940733179719,-0.6154440733179725
2021-12-23,-0.40711308202811075,-0.5921130820281113
2021-12-27,-0.4175057572744803,-0.6027557572744808
2021-12-28,-0.4182374935753559,-0.6037374935753564
2021-12-29,-0.42526786402122707,-0.6110178640212276
2021-12-30,-0.41773141848273315,-0.6037314184827337
2021-12-31,-0.43935051711829665,-0.6256005171182972
2022-01-07,-0.4341455684006496,-0.6206455684006502
2022-01-10,-0.4317224861139326,-0.6184724861139332
2022-01-11,-0.4268853929181626,-0.6138853929181632
2022-01-12,-0.4311438773571962,-0.6183938773571969
2022-01-13,-0.40855129626743475,-0.5960512962674354
2022-01-14,-0.4227368426645166,-0.6104868426645172
2022-01-18,-0.43992925153724893,-0.6279292515372495
2022-01-19,-0.44215150881760545,-0.630401508817606
2022-01-20,-0.43808144766611573,-0.6265814476661163
2022-01-21,-0.4446518593774821,-0.6334018593774827
2022-01-24,-0.41737953625938123,-0.6063795362593819
2022-01-25,-0.40393870288030514,-0.5931887028803058
2022-01-26,-0.4162301665617157,-0.6057301665617163
2022-01-27,-0.45032464293231234,-0.640074642932313
2022-01-28,-0.4844312284388264,-0.6744312284388271
2022-01-31,-0.47872956551174095,-0.6689795655117416
2022-02-01,-0.4483031470709056,-0.6388031470709064
2022-02-02,-0.408083630530947,-0.5988336305309477
2022-02-03,-0.42364855844105387,-0.6146485584410546
2022-02-04,-0.40698105494822595,-0.5982310549482267
2022-02-07,-0.4073609046485251,-0.5988609046485258
2022-02-08,-0.41966847458196627,-0.611418474581967
2022-02-09,-0.42108972983631043,-0.6130897298363112
2022-02-10,-0.40748643342558155,-0.5997364334255822
2022-02-11,-0.4151676221550974,-0.6076676221550981
2022-02-14,-0.4114529391760745,-0.6042029391760751
2022-02-15,-0.39896424465368624,-0.5919642446536869
2022-02-16,-0.39003662213281276,-0.5832866221328135
2022-02-17,-0.38839478326212196,-0.5818947832621226
2022-02-18,-0.39341218443915826,-0.5871621844391589
2022-02-22,-0.38018529581208793,-0.5741852958120885
2022-02-23,-0.4156124605230679,-0.6098624605230685
2022-02-24,-0.4170025604955685,-0.6115025604955691
2022-02-25,-0.40941740117036735,-0.6041674011703679
2022-02-28,-0.3975256781146586,-0.5925256781146592
2022-03-01,-0.39377269480412136,-0.589022694804122
2022-03-02,-0.38582259895147974,-0.5813225989514803
2022-03-03,-0.3655397450902418,-0.5612897450902423
2022-03-04,-0.3376688958017063,-0.5336688958017068
2022-03-07,-0.34502149751978467,-0.5412714975197852
2022-03-08,-0.3873301461646133,-0.5838301461646138
2022-03-09,-0.36995686760437396,-0.5667068676043745
2022-03-10,-0.35669374236344414,-0.5536937423634447
2022-03-11,-0.3501249582987349,-0.5473749582987355
2022-03-14,-0.38709509207921244,-0.584595092079213
2022-03-15,-0.441097743881315,-0.6388477438813156
2022-03-16,-0.44579654439235145,-0.643796544392352
2022-03-17,-0.46887002942061334,-0.6671200294206139
2022-03-18,-0.44384802045519556,-0.6423480204551961
2022-03-21,-0.4612061913748643,-0.6599561913748648
